"","sample_name","SEQUENCES","library_ID","title","library_strategy","library_source","library_selection","library_layout","platform","instrument_model","design_description","filetype"
"11","GOM23_S12_N12_18S","6782_GOM23_S12_N12_18S_DNA_orig_S31_L001_R1_001.fastq.gz, 6782_GOM23_S12_N12_18S_DNA_orig_S31_L001_R2_001.fastq.gz, 6782_GOM23_S12_N12_18S_DNA_S126_L001_R1_001.fastq.gz, 6782_GOM23_S12_N12_18S_DNA_S126_L001_R2_001.fastq.gz","GOM23_S12_N12_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"12","GOM23_S12_N1_18S","6782_GOM23_S12_N1_18S_DNA_orig_S62_L001_R1_001.fastq.gz, 6782_GOM23_S12_N1_18S_DNA_orig_S62_L001_R2_001.fastq.gz, 6782_GOM23_S12_N1_18S_DNA_S156_L001_R1_001.fastq.gz, 6782_GOM23_S12_N1_18S_DNA_S156_L001_R2_001.fastq.gz","GOM23_S12_N1_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"13","GOM23_S12_N2_18S","6782_GOM23_S12_N2_18S_DNA_orig_S69_L001_R1_001.fastq.gz, 6782_GOM23_S12_N2_18S_DNA_orig_S69_L001_R2_001.fastq.gz, 6782_GOM23_S12_N2_18S_DNA_S163_L001_R1_001.fastq.gz, 6782_GOM23_S12_N2_18S_DNA_S163_L001_R2_001.fastq.gz","GOM23_S12_N2_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"14","GOM23_S12_N3_18S","6782_GOM23_S12_N3_18S_DNA_orig_S77_L001_R1_001.fastq.gz, 6782_GOM23_S12_N3_18S_DNA_orig_S77_L001_R2_001.fastq.gz, 6782_GOM23_S12_N3_18S_DNA_S171_L001_R1_001.fastq.gz, 6782_GOM23_S12_N3_18S_DNA_S171_L001_R2_001.fastq.gz","GOM23_S12_N3_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"15","GOM23_S12_N4_18S","6782_GOM23_S12_N4_18S_DNA_orig_S85_L001_R1_001.fastq.gz, 6782_GOM23_S12_N4_18S_DNA_orig_S85_L001_R2_001.fastq.gz, 6782_GOM23_S12_N4_18S_DNA_S179_L001_R1_001.fastq.gz, 6782_GOM23_S12_N4_18S_DNA_S179_L001_R2_001.fastq.gz","GOM23_S12_N4_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"16","GOM23_S12_N5_18S","6782_GOM23_S12_N5_18S_DNA_orig_S93_L001_R1_001.fastq.gz, 6782_GOM23_S12_N5_18S_DNA_orig_S93_L001_R2_001.fastq.gz, 6782_GOM23_S12_N5_18S_DNA_S187_L001_R1_001.fastq.gz, 6782_GOM23_S12_N5_18S_DNA_S187_L001_R2_001.fastq.gz","GOM23_S12_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"17","GOM23_S12_N6_18S","6782_GOM23_S12_N6_18S_DNA_orig_S7_L001_R1_001.fastq.gz, 6782_GOM23_S12_N6_18S_DNA_orig_S7_L001_R2_001.fastq.gz, 6782_GOM23_S12_N6_18S_DNA_S102_L001_R1_001.fastq.gz, 6782_GOM23_S12_N6_18S_DNA_S102_L001_R2_001.fastq.gz","GOM23_S12_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"18","GOM23_S14_N10_18S","6782_GOM23_S14_N10_18S_DNA_orig_S16_L001_R1_001.fastq.gz, 6782_GOM23_S14_N10_18S_DNA_orig_S16_L001_R2_001.fastq.gz, 6782_GOM23_S14_N10_18S_DNA_S111_L001_R1_001.fastq.gz, 6782_GOM23_S14_N10_18S_DNA_S111_L001_R2_001.fastq.gz","GOM23_S14_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"19","GOM23_S14_N11_18S","6782_GOM23_S14_N11_18S_DNA_orig_S24_L001_R1_001.fastq.gz, 6782_GOM23_S14_N11_18S_DNA_orig_S24_L001_R2_001.fastq.gz, 6782_GOM23_S14_N11_18S_DNA_S119_L001_R1_001.fastq.gz, 6782_GOM23_S14_N11_18S_DNA_S119_L001_R2_001.fastq.gz","GOM23_S14_N11_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"20","GOM23_S14_N12_18S","6782_GOM23_S14_N12_18S_DNA_orig_S32_L001_R1_001.fastq.gz, 6782_GOM23_S14_N12_18S_DNA_orig_S32_L001_R2_001.fastq.gz, 6782_GOM23_S14_N12_18S_DNA_S127_L001_R1_001.fastq.gz, 6782_GOM23_S14_N12_18S_DNA_S127_L001_R2_001.fastq.gz","GOM23_S14_N12_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
