"","sample_name","SEQUENCES","library_ID","title","library_strategy","library_source","library_selection","library_layout","platform","instrument_model","design_description","filetype"
"43","GOM23_S3_N12_18S","6782_GOM23_S3_N12_18S_DNA_orig_S50_L001_R1_001.fastq.gz, 6782_GOM23_S3_N12_18S_DNA_orig_S50_L001_R2_001.fastq.gz, 6782_GOM23_S3_N12_18S_DNA_S144_L001_R1_001.fastq.gz, 6782_GOM23_S3_N12_18S_DNA_S144_L001_R2_001.fastq.gz","GOM23_S3_N12_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"44","GOM23_S3_N1_18S","6782_GOM23_S3_N1_18S_DNA_orig_S72_L001_R1_001.fastq.gz, 6782_GOM23_S3_N1_18S_DNA_orig_S72_L001_R2_001.fastq.gz, 6782_GOM23_S3_N1_18S_DNA_S166_L001_R1_001.fastq.gz, 6782_GOM23_S3_N1_18S_DNA_S166_L001_R2_001.fastq.gz","GOM23_S3_N1_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"45","GOM23_S3_N2_18S","6782_GOM23_S3_N2_18S_DNA_orig_S80_L001_R1_001.fastq.gz, 6782_GOM23_S3_N2_18S_DNA_orig_S80_L001_R2_001.fastq.gz, 6782_GOM23_S3_N2_18S_DNA_S174_L001_R1_001.fastq.gz, 6782_GOM23_S3_N2_18S_DNA_S174_L001_R2_001.fastq.gz","GOM23_S3_N2_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"46","GOM23_S3_N3_18S","6782_GOM23_S3_N3_18S_DNA_orig_S88_L001_R1_001.fastq.gz, 6782_GOM23_S3_N3_18S_DNA_orig_S88_L001_R2_001.fastq.gz, 6782_GOM23_S3_N3_18S_DNA_S182_L001_R1_001.fastq.gz, 6782_GOM23_S3_N3_18S_DNA_S182_L001_R2_001.fastq.gz","GOM23_S3_N3_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"47","GOM23_S3_N4_18S","6782_GOM23_S3_N4_18S_DNA_orig_S2_L001_R1_001.fastq.gz, 6782_GOM23_S3_N4_18S_DNA_orig_S2_L001_R2_001.fastq.gz, 6782_GOM23_S3_N4_18S_DNA_S97_L001_R1_001.fastq.gz, 6782_GOM23_S3_N4_18S_DNA_S97_L001_R2_001.fastq.gz","GOM23_S3_N4_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"48","GOM23_S3_N5_18S","6782_GOM23_S3_N5_18S_DNA_orig_S10_L001_R1_001.fastq.gz, 6782_GOM23_S3_N5_18S_DNA_orig_S10_L001_R2_001.fastq.gz, 6782_GOM23_S3_N5_18S_DNA_S105_L001_R1_001.fastq.gz, 6782_GOM23_S3_N5_18S_DNA_S105_L001_R2_001.fastq.gz","GOM23_S3_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"49","GOM23_S3_N6_18S","6782_GOM23_S3_N6_18S_DNA_orig_S18_L001_R1_001.fastq.gz, 6782_GOM23_S3_N6_18S_DNA_orig_S18_L001_R2_001.fastq.gz, 6782_GOM23_S3_N6_18S_DNA_S113_L001_R1_001.fastq.gz, 6782_GOM23_S3_N6_18S_DNA_S113_L001_R2_001.fastq.gz","GOM23_S3_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"50","GOM23_S3_N7_18S","6782_GOM23_S3_N7_18S_DNA_orig_S26_L001_R1_001.fastq.gz, 6782_GOM23_S3_N7_18S_DNA_orig_S26_L001_R2_001.fastq.gz, 6782_GOM23_S3_N7_18S_DNA_S121_L001_R1_001.fastq.gz, 6782_GOM23_S3_N7_18S_DNA_S121_L001_R2_001.fastq.gz","GOM23_S3_N7_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"51","GOM23_S3_N8_18S","6782_GOM23_S3_N8_18S_DNA_orig_S34_L001_R1_001.fastq.gz, 6782_GOM23_S3_N8_18S_DNA_orig_S34_L001_R2_001.fastq.gz, 6782_GOM23_S3_N8_18S_DNA_S129_L001_R1_001.fastq.gz, 6782_GOM23_S3_N8_18S_DNA_S129_L001_R2_001.fastq.gz","GOM23_S3_N8_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"52","GOM23_S3_N9_18S","6782_GOM23_S3_N9_18S_DNA_orig_S42_L001_R1_001.fastq.gz, 6782_GOM23_S3_N9_18S_DNA_orig_S42_L001_R2_001.fastq.gz, 6782_GOM23_S3_N9_18S_DNA_S137_L001_R1_001.fastq.gz, 6782_GOM23_S3_N9_18S_DNA_S137_L001_R2_001.fastq.gz","GOM23_S3_N9_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"53","GOM23_S4_N10_18S","6782_GOM23_S4_N10_18S_DNA_orig_S19_L001_R1_001.fastq.gz, 6782_GOM23_S4_N10_18S_DNA_orig_S19_L001_R2_001.fastq.gz, 6782_GOM23_S4_N10_18S_DNA_S114_L001_R1_001.fastq.gz, 6782_GOM23_S4_N10_18S_DNA_S114_L001_R2_001.fastq.gz","GOM23_S4_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"54","GOM23_S4_N11_18S","6782_GOM23_S4_N11_18S_DNA_orig_S27_L001_R1_001.fastq.gz, 6782_GOM23_S4_N11_18S_DNA_orig_S27_L001_R2_001.fastq.gz, 6782_GOM23_S4_N11_18S_DNA_S122_L001_R1_001.fastq.gz, 6782_GOM23_S4_N11_18S_DNA_S122_L001_R2_001.fastq.gz","GOM23_S4_N11_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"55","GOM23_S4_N1_18S","6782_GOM23_S4_N1_18S_DNA_orig_S58_L001_R1_001.fastq.gz, 6782_GOM23_S4_N1_18S_DNA_orig_S58_L001_R2_001.fastq.gz, 6782_GOM23_S4_N1_18S_DNA_S152_L001_R1_001.fastq.gz, 6782_GOM23_S4_N1_18S_DNA_S152_L001_R2_001.fastq.gz","GOM23_S4_N1_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"56","GOM23_S4_N2_18S","6782_GOM23_S4_N2_18S_DNA_orig_S66_L001_R1_001.fastq.gz, 6782_GOM23_S4_N2_18S_DNA_orig_S66_L001_R2_001.fastq.gz, 6782_GOM23_S4_N2_18S_DNA_S160_L001_R1_001.fastq.gz, 6782_GOM23_S4_N2_18S_DNA_S160_L001_R2_001.fastq.gz","GOM23_S4_N2_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"57","GOM23_S4_N3_18S","6782_GOM23_S4_N3_18S_DNA_orig_S73_L001_R1_001.fastq.gz, 6782_GOM23_S4_N3_18S_DNA_orig_S73_L001_R2_001.fastq.gz, 6782_GOM23_S4_N3_18S_DNA_S167_L001_R1_001.fastq.gz, 6782_GOM23_S4_N3_18S_DNA_S167_L001_R2_001.fastq.gz","GOM23_S4_N3_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"58","GOM23_S4_N4_18S","6782_GOM23_S4_N4_18S_DNA_orig_S81_L001_R1_001.fastq.gz, 6782_GOM23_S4_N4_18S_DNA_orig_S81_L001_R2_001.fastq.gz, 6782_GOM23_S4_N4_18S_DNA_S175_L001_R1_001.fastq.gz, 6782_GOM23_S4_N4_18S_DNA_S175_L001_R2_001.fastq.gz","GOM23_S4_N4_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"59","GOM23_S4_N5_18S","6782_GOM23_S4_N5_18S_DNA_orig_S89_L001_R1_001.fastq.gz, 6782_GOM23_S4_N5_18S_DNA_orig_S89_L001_R2_001.fastq.gz, 6782_GOM23_S4_N5_18S_DNA_S183_L001_R1_001.fastq.gz, 6782_GOM23_S4_N5_18S_DNA_S183_L001_R2_001.fastq.gz","GOM23_S4_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"60","GOM23_S4_N6_18S","6782_GOM23_S4_N6_18S_DNA_orig_S3_L001_R1_001.fastq.gz, 6782_GOM23_S4_N6_18S_DNA_orig_S3_L001_R2_001.fastq.gz, 6782_GOM23_S4_N6_18S_DNA_S98_L001_R1_001.fastq.gz, 6782_GOM23_S4_N6_18S_DNA_S98_L001_R2_001.fastq.gz","GOM23_S4_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"61","GOM23_S4_N9_18S","6782_GOM23_S4_N9_18S_DNA_orig_S11_L001_R1_001.fastq.gz, 6782_GOM23_S4_N9_18S_DNA_orig_S11_L001_R2_001.fastq.gz, 6782_GOM23_S4_N9_18S_DNA_S106_L001_R1_001.fastq.gz, 6782_GOM23_S4_N9_18S_DNA_S106_L001_R2_001.fastq.gz","GOM23_S4_N9_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"62","GOM23_S5_N10_18S","6782_GOM23_S5_N10_18S_DNA_orig_S82_L001_R1_001.fastq.gz, 6782_GOM23_S5_N10_18S_DNA_orig_S82_L001_R2_001.fastq.gz, 6782_GOM23_S5_N10_18S_DNA_S176_L001_R1_001.fastq.gz, 6782_GOM23_S5_N10_18S_DNA_S176_L001_R2_001.fastq.gz","GOM23_S5_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"63","GOM23_S5_N11_18S","6782_GOM23_S5_N11_18S_DNA_orig_S90_L001_R1_001.fastq.gz, 6782_GOM23_S5_N11_18S_DNA_orig_S90_L001_R2_001.fastq.gz, 6782_GOM23_S5_N11_18S_DNA_S184_L001_R1_001.fastq.gz, 6782_GOM23_S5_N11_18S_DNA_S184_L001_R2_001.fastq.gz","GOM23_S5_N11_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"64","GOM23_S5_N12_18S","6782_GOM23_S5_N12_18S_DNA_orig_S4_L001_R1_001.fastq.gz, 6782_GOM23_S5_N12_18S_DNA_orig_S4_L001_R2_001.fastq.gz, 6782_GOM23_S5_N12_18S_DNA_S99_L001_R1_001.fastq.gz, 6782_GOM23_S5_N12_18S_DNA_S99_L001_R2_001.fastq.gz","GOM23_S5_N12_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"65","GOM23_S5_N1_18S","6782_GOM23_S5_N1_18S_DNA_orig_S35_L001_R1_001.fastq.gz, 6782_GOM23_S5_N1_18S_DNA_orig_S35_L001_R2_001.fastq.gz, 6782_GOM23_S5_N1_18S_DNA_S130_L001_R1_001.fastq.gz, 6782_GOM23_S5_N1_18S_DNA_S130_L001_R2_001.fastq.gz","GOM23_S5_N1_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"66","GOM23_S5_N2_18S","6782_GOM23_S5_N2_18S_DNA_orig_S43_L001_R1_001.fastq.gz, 6782_GOM23_S5_N2_18S_DNA_orig_S43_L001_R2_001.fastq.gz","GOM23_S5_N2_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"67","GOM23_S5_N3_18S","6782_GOM23_S5_N3_18S_DNA_orig_S51_L001_R1_001.fastq.gz, 6782_GOM23_S5_N3_18S_DNA_orig_S51_L001_R2_001.fastq.gz, 6782_GOM23_S5_N3_18S_DNA_S145_L001_R1_001.fastq.gz, 6782_GOM23_S5_N3_18S_DNA_S145_L001_R2_001.fastq.gz","GOM23_S5_N3_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"68","GOM23_S5_N4_18S","6782_GOM23_S5_N4_18S_DNA_orig_S59_L001_R1_001.fastq.gz, 6782_GOM23_S5_N4_18S_DNA_orig_S59_L001_R2_001.fastq.gz, 6782_GOM23_S5_N4_18S_DNA_S153_L001_R1_001.fastq.gz, 6782_GOM23_S5_N4_18S_DNA_S153_L001_R2_001.fastq.gz","GOM23_S5_N4_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"69","GOM23_S5_N5_18S","6782_GOM23_S5_N5_18S_DNA_orig_S67_L001_R1_001.fastq.gz, 6782_GOM23_S5_N5_18S_DNA_orig_S67_L001_R2_001.fastq.gz, 6782_GOM23_S5_N5_18S_DNA_S161_L001_R1_001.fastq.gz, 6782_GOM23_S5_N5_18S_DNA_S161_L001_R2_001.fastq.gz","GOM23_S5_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"70","GOM23_S5_N6_18S","6782_GOM23_S5_N6_18S_DNA_orig_S74_L001_R1_001.fastq.gz, 6782_GOM23_S5_N6_18S_DNA_orig_S74_L001_R2_001.fastq.gz, 6782_GOM23_S5_N6_18S_DNA_S168_L001_R1_001.fastq.gz, 6782_GOM23_S5_N6_18S_DNA_S168_L001_R2_001.fastq.gz","GOM23_S5_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"71","GOM23_S7_N10_18S","6782_GOM23_S7_N10_18S_DNA_orig_S68_L001_R1_001.fastq.gz, 6782_GOM23_S7_N10_18S_DNA_orig_S68_L001_R2_001.fastq.gz, 6782_GOM23_S7_N10_18S_DNA_S162_L001_R1_001.fastq.gz, 6782_GOM23_S7_N10_18S_DNA_S162_L001_R2_001.fastq.gz","GOM23_S7_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"72","GOM23_S7_N11_18S","6782_GOM23_S7_N11_18S_DNA_orig_S75_L001_R1_001.fastq.gz, 6782_GOM23_S7_N11_18S_DNA_orig_S75_L001_R2_001.fastq.gz, 6782_GOM23_S7_N11_18S_DNA_S169_L001_R1_001.fastq.gz, 6782_GOM23_S7_N11_18S_DNA_S169_L001_R2_001.fastq.gz","GOM23_S7_N11_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"73","GOM23_S7_N12_18S","6782_GOM23_S7_N12_18S_DNA_orig_S83_L001_R1_001.fastq.gz, 6782_GOM23_S7_N12_18S_DNA_orig_S83_L001_R2_001.fastq.gz, 6782_GOM23_S7_N12_18S_DNA_S177_L001_R1_001.fastq.gz, 6782_GOM23_S7_N12_18S_DNA_S177_L001_R2_001.fastq.gz","GOM23_S7_N12_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"74","GOM23_S7_N2_18S","6782_GOM23_S7_N2_18S_DNA_orig_S12_L001_R1_001.fastq.gz, 6782_GOM23_S7_N2_18S_DNA_orig_S12_L001_R2_001.fastq.gz, 6782_GOM23_S7_N2_18S_DNA_S107_L001_R1_001.fastq.gz, 6782_GOM23_S7_N2_18S_DNA_S107_L001_R2_001.fastq.gz","GOM23_S7_N2_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"75","GOM23_S7_N3_18S","6782_GOM23_S7_N3_18S_DNA_orig_S20_L001_R1_001.fastq.gz, 6782_GOM23_S7_N3_18S_DNA_orig_S20_L001_R2_001.fastq.gz, 6782_GOM23_S7_N3_18S_DNA_S115_L001_R1_001.fastq.gz, 6782_GOM23_S7_N3_18S_DNA_S115_L001_R2_001.fastq.gz","GOM23_S7_N3_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"76","GOM23_S7_N4_18S","6782_GOM23_S7_N4_18S_DNA_orig_S28_L001_R1_001.fastq.gz, 6782_GOM23_S7_N4_18S_DNA_orig_S28_L001_R2_001.fastq.gz, 6782_GOM23_S7_N4_18S_DNA_S123_L001_R1_001.fastq.gz, 6782_GOM23_S7_N4_18S_DNA_S123_L001_R2_001.fastq.gz","GOM23_S7_N4_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"77","GOM23_S7_N5_18S","6782_GOM23_S7_N5_18S_DNA_orig_S36_L001_R1_001.fastq.gz, 6782_GOM23_S7_N5_18S_DNA_orig_S36_L001_R2_001.fastq.gz, 6782_GOM23_S7_N5_18S_DNA_S131_L001_R1_001.fastq.gz, 6782_GOM23_S7_N5_18S_DNA_S131_L001_R2_001.fastq.gz","GOM23_S7_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"78","GOM23_S7_N6_18S","6782_GOM23_S7_N6_18S_DNA_orig_S44_L001_R1_001.fastq.gz, 6782_GOM23_S7_N6_18S_DNA_orig_S44_L001_R2_001.fastq.gz, 6782_GOM23_S7_N6_18S_DNA_S138_L001_R1_001.fastq.gz, 6782_GOM23_S7_N6_18S_DNA_S138_L001_R2_001.fastq.gz","GOM23_S7_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"79","GOM23_S7_N7_18S","6782_GOM23_S7_N7_18S_DNA_orig_S52_L001_R1_001.fastq.gz, 6782_GOM23_S7_N7_18S_DNA_orig_S52_L001_R2_001.fastq.gz, 6782_GOM23_S7_N7_18S_DNA_S146_L001_R1_001.fastq.gz, 6782_GOM23_S7_N7_18S_DNA_S146_L001_R2_001.fastq.gz","GOM23_S7_N7_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"80","GOM23_S7_N9_18S","6782_GOM23_S7_N9_18S_DNA_orig_S60_L001_R1_001.fastq.gz, 6782_GOM23_S7_N9_18S_DNA_orig_S60_L001_R2_001.fastq.gz, 6782_GOM23_S7_N9_18S_DNA_S154_L001_R1_001.fastq.gz, 6782_GOM23_S7_N9_18S_DNA_S154_L001_R2_001.fastq.gz","GOM23_S7_N9_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"81","GOM23_S8_N10_18S","6782_GOM23_S8_N10_18S_DNA_orig_S53_L001_R1_001.fastq.gz, 6782_GOM23_S8_N10_18S_DNA_orig_S53_L001_R2_001.fastq.gz, 6782_GOM23_S8_N10_18S_DNA_S147_L001_R1_001.fastq.gz, 6782_GOM23_S8_N10_18S_DNA_S147_L001_R2_001.fastq.gz","GOM23_S8_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"82","GOM23_S8_N11_18S","6782_GOM23_S8_N11_18S_DNA_orig_S61_L001_R1_001.fastq.gz, 6782_GOM23_S8_N11_18S_DNA_orig_S61_L001_R2_001.fastq.gz, 6782_GOM23_S8_N11_18S_DNA_S155_L001_R1_001.fastq.gz, 6782_GOM23_S8_N11_18S_DNA_S155_L001_R2_001.fastq.gz","GOM23_S8_N11_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"83","GOM23_S8_N1_18S","6782_GOM23_S8_N1_18S_DNA_orig_S91_L001_R1_001.fastq.gz, 6782_GOM23_S8_N1_18S_DNA_orig_S91_L001_R2_001.fastq.gz, 6782_GOM23_S8_N1_18S_DNA_S185_L001_R1_001.fastq.gz, 6782_GOM23_S8_N1_18S_DNA_S185_L001_R2_001.fastq.gz","GOM23_S8_N1_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"84","GOM23_S8_N3_18S","6782_GOM23_S8_N3_18S_DNA_orig_S5_L001_R1_001.fastq.gz, 6782_GOM23_S8_N3_18S_DNA_orig_S5_L001_R2_001.fastq.gz, 6782_GOM23_S8_N3_18S_DNA_S100_L001_R1_001.fastq.gz, 6782_GOM23_S8_N3_18S_DNA_S100_L001_R2_001.fastq.gz","GOM23_S8_N3_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"85","GOM23_S8_N4_18S","6782_GOM23_S8_N4_18S_DNA_orig_S13_L001_R1_001.fastq.gz, 6782_GOM23_S8_N4_18S_DNA_orig_S13_L001_R2_001.fastq.gz, 6782_GOM23_S8_N4_18S_DNA_S108_L001_R1_001.fastq.gz, 6782_GOM23_S8_N4_18S_DNA_S108_L001_R2_001.fastq.gz","GOM23_S8_N4_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"86","GOM23_S8_N5_18S","6782_GOM23_S8_N5_18S_DNA_orig_S21_L001_R1_001.fastq.gz, 6782_GOM23_S8_N5_18S_DNA_orig_S21_L001_R2_001.fastq.gz, 6782_GOM23_S8_N5_18S_DNA_S116_L001_R1_001.fastq.gz, 6782_GOM23_S8_N5_18S_DNA_S116_L001_R2_001.fastq.gz","GOM23_S8_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"87","GOM23_S8_N7_18S","6782_GOM23_S8_N7_18S_DNA_orig_S29_L001_R1_001.fastq.gz, 6782_GOM23_S8_N7_18S_DNA_orig_S29_L001_R2_001.fastq.gz, 6782_GOM23_S8_N7_18S_DNA_S124_L001_R1_001.fastq.gz, 6782_GOM23_S8_N7_18S_DNA_S124_L001_R2_001.fastq.gz","GOM23_S8_N7_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
